offer_id,name,offer_type,category,content,channel,points,exclusion_category,benefit_type,point_type,program_code,program_name,program_tier,program_point_type,product_category,product_code,product_name,season,month,week_day,holiday,week_end,birth_day,wedding_anniversary,duration,start_date,end_date,,partner_category,partner_code,partner_name,partner_type,targetted_age,targetted_nationality,targetted_preference_group,targetted_gender,targetted_type,targetted_tier,targetted_channel,targetted_marital_status,discount_percentage
O0077,Buy & Earn 2k Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles","Loyalty  Portal, Mobile App",100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P001,ABC miles,Holiday,,,Vacation,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",,
O0078,Earn 2x miles with Manhattan,,Points,Earn more miles on your purchase when you use your eligible Manhattan  credit card.,"Loyalty  Portal, Mobile App",50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P038,Manhattan,Holiday,,,Vacation,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",,
O0079,Earn 50k Bonus miles with ABC,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.","Loyalty  Portal, Mobile App",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P013,Bonus miles,Holiday,,,Vacation,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",,
O0080,Earn 300K Bonus miles with ABC,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.","Loyalty  Portal, Mobile App",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P013,Bonus miles,Holiday,,,Vacation,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",,
O0081,Earn 5000 Bonus Miles,,Points,Earn 500 bonus miles when you book a vacation to Paris  with ABC Card,"Loyalty  Portal, Mobile App",5000,,points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,,,,,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Platinum,"Loyalty  Portal, Mobile App",,
O0082,Celebrate Fall Sale 20,Accruals ,Discounts,Save 20%/night to all destinations,Social Media,50,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P007,American,Holiday,,,Fall Holidays,,,,,15-Sep-19,31-Dec-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Bronze,Social Media,,20
O0083,Celebrate Fall Sale 30,Accruals ,Discounts,Save 30%/night to all destinations,Social Media,300,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P007,American,Holiday,,,Fall Holidays,,,,,15-Sep-19,31-Dec-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Gold,Social Media,,30
O0084,Celebrate Fall Sale 40,Accruals ,Discounts,Save 40%/night to all destinations,Social Media,1000,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,P007,American,Holiday,,,Fall Holidays,,,,,15-Sep-19,31-Dec-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Platinum,Social Media,,40
O0085,35% off with Budget,Accruals ,Discounts,35% Off with Budget,"Loyalty  Portal, Mobile App",50,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P017,Budget,Holiday,,,Fall Holidays,,,,,15-Sep-19,31-Dec-19,,Non Air,BJT,Budget,Cab,All,US,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,35
O0086,Earn10k miles every stay,,Points,"Book hotels and earn up to 10,000 miles per night on select properties.",Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P040,Marriot,,,,,,,,,15-Sep-19,31-Dec-19,,,MM,Marriot,Hotel,All,US,Individuals,All,,Bronze,Social Media,Married,
O0087,10%- Food & Bev,Accruals ,Discounts,Get 10% off on F&B,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P009,Ancillary-Food & Bev ,,,,,,Birthday,Anniversary,,15-Sep-19,31-Dec-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0088,10%  Food & Bev- Wine,Accruals ,Discounts,Get 10% off on F&B-Wine,"Loyalty  Portal, Mobile App",50,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,,P070,wine,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0089,10%  Baggage and excess baggage,Accruals ,Discounts,15$ discount on excess baggage,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P011,Baggage,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0090,10%  Seats,Accruals ,Discounts,10% discount on Xleg Seats,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P056,Seats,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0091,Early Bird 20,Accruals ,Discounts, à la carte - 20% discount on early boarding for F&B,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P026,Early Boarding,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,20
O0092,Marriot 20,Accruals ,Discounts,20% discount at Marriot,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P040,Marriot,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Non Air,MM,Marriot,Hotel,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,20
O0093,Uber 20,Accruals ,Discounts,20% discuount with Uber Cabs,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P066,Uber,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Non Air,UU,Uber,Cab,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,20
O0094,TI 20,Accruals ,Discounts,20% discount on Travel Insurance with TT insurance,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P065,TT Insurance,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Non Air,TI,TT Insurance,Insurance,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,20
O0095,Go Kido,,Offers,Loyalty Offer exclusively for Kids Under 12,"Loyalty  Portal, Mobile App",50,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,,P048,Oryx Cards Kids Club,All,,,,,,,,01-Jul-19,31-Oct-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Bronze,"Loyalty  Portal, Mobile App",Single,
O0096,Teddy Bear Feast,,Offers,Loyalty Offerfor Kids under 12 years,"Loyalty  Portal, Mobile App",50,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,,P048,Oryx Cards Kids Club,All,,,,,,,,01-Jul-19,31-Oct-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Bronze,"Loyalty  Portal, Mobile App",Single,
O0097,Kids Lounge,,Offers,Lounge Offer for Kids,"Loyalty  Portal, Mobile App",300,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Dec-19,31-Jan-20,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,
O0098,Kids Snack Boxes,,Offers,All-new meal boxes filled with fun and nutritious food while in flight,"Loyalty  Portal, Mobile App",300,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Oct-19,31-Dec-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,
O0099,Wherever Family,Accruals ,Discounts,15% off at THEWORKS,"Loyalty  Portal, Mobile App",300,not for below 18 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Oct-19,31-Dec-19,,Non Air,ORX,Oryx,Credit Card,Dec-20,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,15
O0100,DISNEY MOVIE REWARDS:,Accruals ,Discounts,15% discount for signing up for sign up for the Disney movie loyalty cards,"Loyalty  Portal, Mobile App",300,Under 18,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Oct-19,31-Dec-19,,Non Air,ORX,Oryx,Credit Card,Dec-20,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,15
O0101,GAME REWARD:,Accruals ,Discounts,10% Off for every game that you buy,"Loyalty  Portal, Mobile App",300,not for below 12 years ,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Oct-19,31-Dec-19,,Non Air,ORX,Oryx,Credit Card,Dec-20,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,10
O0102,HARRODS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Harrods,"Loyalty  Portal, Mobile App",300,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Oct-19,31-Dec-19,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,,Gold,"Loyalty  Portal, Mobile App",Single,20
O0103,SeniorFirst Winter 20,Accruals ,Discounts,Guests' age 65 and older are eligible for  20% discount for select Hotel rooms.,"Loyalty  Portal, Mobile App",300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,P057,Senior Citizens Discounts,Winter,,,,,Birthday,,,01-Dec-19,31-Jan-20,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,All,,Gold,"Loyalty  Portal, Mobile App",Married,20
O0104,SeniorLadies Winter30,Accruals ,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms.,"Loyalty  Portal, Mobile App",300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,P057,Senior Citizens Discounts,Winter,,,,,Birthday,,,01-Dec-19,31-Jan-20,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,F,,Gold,"Loyalty  Portal, Mobile App",All,30
O0105,SeniorGoRelax Winter30,Accruals ,Discounts,Guests' age 65 and older are eligible for  30% discount for select Hotel rooms and Cabs,"Loyalty  Portal, Mobile App",300,Not for below 55 years,Discounts,Senior Citizens Offers,SCO,Frequent Flyer Program,Gold,,,P057,Senior Citizens Discounts,Winter,,,,,Birthday,,,01-Dec-19,31-Jan-20,,Non Air,MM,Marriot,Hotel,Above 65,US,Senior Citizens,All,,Gold,"Loyalty  Portal, Mobile App",Married,30
O0106,Go Kido,,Offers,Loyalty Offer exclusively for Kids Under 12,Web,50,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,,P048,Oryx Cards Kids Club,All,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Bronze,Web,Single,
O0107,Teddy Bear Feast,,Offers,Loyalty Offerfor Kids under 12 years,Web,50,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Bronze,,,P048,Oryx Cards Kids Club,All,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Bronze,Web,Single,
O0108,Kids Lounge,,Offers,Lounge Offer for Kids,Web,300,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Jan-19,31-Mar-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Gold,Web,Single,
O0109,Kids Snack Boxes,,Offers,All-new meal boxes filled with fun and nutritious food while in flight,web,300,not for 12 years and above,Offers,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Mar-19,31-Jul-19,,Non Air,ORX,Oryx,Credit Card,< 12,US,Kids,All,,Gold,web,Single,
O0110,HARRODS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Harrods,web,300,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Mar-19,31-Jul-19,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,,Gold,web,Single,20
O0111,HAMLEYS REWARDS:,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Hamleys,web,300,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Mar-19,31-Jul-19,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,,Gold,web,Single,20
O0112,Kidos  ,Accruals ,Discounts,20% Discount for newborn baby essentials ,web,300,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Mar-19,31-Jul-19,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,,Gold,web,Single,20
O0113,NidoKidos,Accruals ,Discounts,20% Discount for newborn baby essentials – everything from clothing to gift sets at Nidokidos Stores,web,300,not for above 5 years,Discounts,Kids Offers,KC,Kids Club,Gold,,,P048,Oryx Cards Kids Club,All,,,,,Birthday,,,01-Mar-19,31-Jul-19,,Non Air,ORX,Oryx,Credit Card,< 5,US,Kids,All,,Gold,web,Single,20
O0114,Shop for $100 and get free shipping!!,,Promotions,Shop for $100 from Target Portal and get free shipping,Web,100,,Promotions,,,,,,,P061,Target Offers,,,,,,,,,01-Sep-19,12/31/2019,,,,,,,,,,,,,,
O0115,Early Access Offer,Accruals ,Promotions,New Product that’s not officially Launched,"Loyalty  Portal, Email, Mobile App",50,,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P045,New Launches,Summer 2019,April ,,,,,,,01-Jun-20,31-Aug-20,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,,Bronze,Loyalty  Portal,Both,
O0116,"40,00 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"40,00 Bonus Points [Highest EVER Bonus]  with AMEx Saphire Card","Web,Email",4000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,01-Jun-20,31-Aug-20,,Non Air,AMEX,American Express,Credit Card,30 - 40,US,Individuals,All,,Saphire,Web,Both,
O0117," 60,00 Rewards points  with AMEx Platinum Card",Accruals ,Promotions,"Earn 60,000 Membership Rewards points  with AMEx Platinum Card","Web,Email",6000,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,01-Jun-20,31-Aug-20,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Platinum,Web,All,
O0118,"35,00  Rewards points with AMEx Gold Card",Accruals ,Promotions,"Earn 35,00 Membership Rewards points with AMEx Gold Card","Web,Email",3500,,Points,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,01-Jun-20,31-Aug-20,,Non Air,AMEX,American Express,Credit Card,All,US,Individuals,All,,Gold,Web,All,
O0119,Member Only - Early Birds 100,Redemption,Promotions,Redeem new products listed exclusively for members- First 100,"Mobile App, SMS",100,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2019,Dec,,New Year,,,,,01-Jun-20,31-Aug-20,,Air,Luftansa,Luftansa,Airlines,All,US,Corporates,All,,Gold,"Mobile App, SMS",All,
O0120,Member Only - Spring 10,Redemption,Promotions,Redeem new products listed exclusively for members - Sprint Sale 2020,"Mobile App, SMS",200,,Points,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2019,Dec,,,,,,,01-Jun-20,31-Aug-20,,Air,Luftansa,Luftansa,Airlines,40-65,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0121,Member Only - Thanks Giving 20,Redemption,Promotions,Redeem new products listed exclusively for members - Thanks Giving sale 2020,"Mobile App, SMS",200,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-20,31-Aug-20,,Air,,,,All,US,,,,Gold,"Mobile App, SMS",All,
O0122,Member Only - Independence Day,Redemption,Promotions,Redeem new products listed exclusively for members - Independence day sale,"Mobile App, SMS",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-20,31-Aug-20,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,
O0123,Member Only - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for members,"Mobile App, SMS",300,,Points,,FFP,Frequent Flyer Program,Gold,,,P043,Member Only Offers,,,,,,,,,01-Jun-20,31-Aug-20,,Air,,,,All,,,,,Gold,"Mobile App, SMS",All,
O0124,Join US for 50,Accruals ,Coupons,Create an account gain 50 points,Web,100,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P054,Refer a friend,,,,,,,,,01-Jun-20,31-Aug-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0125,5 points per $1 ,Accruals ,Coupons,Make a purchase 5 points per $1 . Earn point for every Dollar you spend for a minium of $50 purchase,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Jul-20,31-Oct-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0126,Get 10% off on next Max purchase. Expiry : 31/01/2020,,Coupons,Sign up for loyalty and and get 10% off on next MAX store purchase. Expiry : 31/01/2021,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P042,MAX,,,,,,,,,01-Jul-20,31-Dec-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0127,Friend-200,Accruals ,Coupons,Refer a friend earn 200 points,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P036,Loyalty Offers,,,,,,,,,01-Jul-20,31-Dec-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0128,$10 off 200 points,Redemption,Discounts,Redeem 200 points and avail $10 discount in selected stores,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Apr-20,31-Jul-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,10
O0129,15% Off 200 Points,Redemption,Discounts,Redeem 200 points and avail $15 discount in selected stores,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Apr-20,31-Jul-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,15
O0130,30$ off 280 points,Redemption,Discounts,Redeem 280 points and avail $30 discount in selected stores,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P052,Redeem offers,,,,,,,,,01-Jul-20,31-Aug-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Gold,Web,All,10
O0131,NIKE 15,Redemption,Discounts,15% off on Purchase of $100 from NIKE . Expires 31/12/2020,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P046,NIKE,,,,,,,,,01-Jul-20,31-Aug-20,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Gold,Web,All,10
O0132,Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P060,Target Discounts,,,,,,,,,01-Jul-20,31-Aug-20,,,TC,Target Corp,Retail,All,US,,,,Bronze,Web,All,10
O0133,Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,Web,150,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P060,Target Discounts,,,,,,,,,01-Jul-20,31-Aug-20,,,TC,Target Corp,Retail,All,US,,,,Bronze,Web,All,15
O0134,Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P060,Target Discounts,,,,,,,,,01-Jul-20,31-Aug-20,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,,Gold,Web,All,25
O0135,Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P067,Walmart discounts,,,,,,,,,01-Jul-20,31-Dec-20,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,Web,All,10
O0136,Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P067,Walmart discounts,,,,,,,,,01-Jul-20,31-Dec-20,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,Web,All,15
O0137,Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P067,Walmart discounts,,,,,,,,,01-Jul-20,31-Dec-20,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,,Gold,Web,All,25
O0138,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,Winter,,,,,,,,01-Jul-20,31-Dec-20,,,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,Web,All,
O0139,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,,Anniversary Discounts,,02-Jan-20,31-Mar-20,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0140,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,Birthday Offers,,,01-Sep-20,31-Dec-20,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0141,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 20,Jan,,,Weekend Offers,,,,02-Jan-20,31-May-20,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0142,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Sports Purchases,Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 21,Feb,,,Weekend Offers,,,,02-Jan-20,31-May-20,,,UU,Uber,Cab,All,US,Individuals,All,,Bronze,Social Media,All,
O0143,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Hotel Bookings,Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 22,Jan,,,Weekend Offers,,,,02-Jan-20,31-May-20,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,,Bronze,Social Media,All,
O0144,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Wine Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 23,Feb,,,Weekend Offers,,,,02-Jan-20,31-May-20,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0145,JULY 4 20,Accruals ,Discounts,Upto 20% off on Flight Fees,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P006,Airline Fare Discounts,Holiday,July,1,Independence Day,,,,,01-Jul-20,31-Jul-20,,Air,LF,Luftanza,Air,All,US,Individuals,All,,Bronze,Web,All,15
O0146,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200,,Points,,FFP,Frequent Flyer Program,Bronze,,,P001,ABC miles,Holiday,,,Vacation,,,,,01-Jul-20,31-Oct-20,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,Web,,
O0147,Earn miles with ABC,,Points,Earn more miles on your purchase when you use your eligible ABC  credit card.,Web,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P001,ABC miles,Holiday,,,Vacation,,,,,01-Jul-20,31-Oct-20,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,Web,,
O0148,Earn Bonus miles,,Points,"Earn 25,00 bonus miles on a future vacation to Jamaica.",Web,2500,,Points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,Holiday,,,Vacation,,,,,02-Jan-20,31-Mar-20,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,Web,,
O0149,Earn Bonus miles,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,3000,,Points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,Holiday,,,Vacation,,,,,01-Jun-20,31-Aug-20,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,Web,,
O0150,Earn Bonus Miles,,Points,"Earn 50,000 bonus miles when you book a vacation to Paris  with ABC Card",Web,5000,,points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,,,,,,,,,01-Jun-20,31-Aug-20,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Platinum,Web,,
O0151,Celebrate Summer Sale 20,Accruals ,Discounts,Save 20%/night on Marriot stay  to all destinations,Social Media,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P041,Marriot ,Holiday,,,Summer,,,,,01-Jul-20,31-Oct-20,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Bronze,Social Media,,20
O0152,Celebrate Summer Sale 30,Accruals ,Discounts,Save 30%/night  on Marriot stay to all destinations,Social Media,400,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P041,Marriot ,Holiday,,,Summer,,,,,01-Jun-20,31-Aug-20,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Gold,Social Media,,30
O0154,Celebrate Summer Sale 40,Accruals ,Discounts,Save 40%/night  on Marriot stay to all destinations,Social Media,500,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,P041,Marriot ,Holiday,,,Summer,,,,,01-Jun-20,31-Aug-20,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Platinum,Social Media,,40
